ds,y
2017-05-01,15.55625
2017-05-02,17.346527777777776
2017-05-03,19.103472222222223
2017-05-04,20.277430555555554
2017-05-05,17.95625
2017-05-06,7.733680555555556
2017-05-07,5.992013888888889
2017-05-08,10.850694444444445
2017-05-09,14.940972222222221
2017-05-10,16.03576388888889
2017-05-11,15.700347222222222
2017-05-12,10.27361111111111
2017-05-13,7.770486111111111
2017-05-14,8.657638888888888
2017-05-15,5.740972222222222
2017-05-16,5.211458333333334
2017-05-17,8.0625
2017-05-18,11.467361111111112
2017-05-19,15.153125000000001
2017-05-20,18.259722222222223
2017-05-21,19.772222222222222
2017-05-22,21.965625
2017-05-23,23.45486111111111
2017-05-24,21.345138888888886
2017-05-25,19.590625
2017-05-26,15.167708333333332
2017-05-27,18.76770833333333
2017-05-28,20.65798611111111
2017-05-29,22.207291666666666
2017-05-30,21.391666666666666
2017-05-31,13.668402777777779
2017-06-01,14.851041666666667
2017-06-02,20.422916666666666
2017-06-03,22.35972222222222
2017-06-04,22.269097222222225
2017-06-05,21.321875000000002
2017-06-06,21.302430555555556
2017-06-07,21.03159722222222
2017-06-08,15.173611111111112
2017-06-09,10.706249999999999
2017-06-10,11.718402777777778
2017-06-11,6.486458333333334
2017-06-12,2.553819444444444
2017-06-13,11.204166666666666
2017-06-14,17.720138888888886
2017-06-15,20.296875
2017-06-16,23.7625
2017-06-17,25.720138888888886
2017-06-18,27.751388888888886
2017-06-19,29.52881944444444
2017-06-20,28.119791666666668
2017-06-21,27.856250000000003
2017-06-22,28.108333333333334
2017-06-23,28.569097222222222
2017-06-24,25.795833333333334
2017-06-25,25.434375
2017-06-26,25.352777777777778
2017-06-27,23.196875000000002
2017-06-28,22.697569444444444
2017-06-29,23.266666666666666
2017-06-30,24.781944444444445
2017-07-01,24.91076388888889
2017-07-02,24.164236111111112
2017-07-03,24.85902777777778
2017-07-04,25.323958333333334
2017-07-05,41.4
