ds,actual,predicted,predicted_lower,predicted_upper
2017-06-22 00:00:00,42.5,45.646869293058536,39.52598716245931,51.94396018335914
2017-06-22 00:05:00,41.7,45.255920424511864,38.79997008105376,50.956494526468184
2017-06-22 00:10:00,41.4,44.855617206832974,38.777462502285616,50.69974343056853
2017-06-22 00:15:00,40.5,44.44652943341552,38.27259263190082,50.25372281740863
2017-06-22 00:20:00,40.2,44.029268864555675,38.37207899115433,50.215417481058964
2017-06-22 00:25:00,39.5,43.60448723042599,37.604593607408276,49.62068545809775
2017-06-22 00:30:00,39.0,43.17287392669001,37.089339923972396,49.45272743155768
2017-06-22 00:35:00,38.3,42.73515342398522,36.62753608753562,48.74961656843437
2017-06-22 00:40:00,37.9,42.292082395799504,36.19814042581501,48.45828626584395
2017-06-22 00:45:00,37.2,41.844446592588746,35.93270189078547,48.11741147314331
2017-06-22 00:50:00,36.5,41.393057476502285,35.24519636265047,47.58016455615174
2017-06-22 00:55:00,36.1,40.938748644558615,35.05697856687877,47.34874064612831
2017-06-22 01:00:00,35.6,40.48237205758744,34.73363875286147,46.3116772152493
2017-06-22 01:05:00,34.8,40.02479410498133,33.82761580106583,45.842694145633764
2017-06-22 01:10:00,34.5,39.56689153054744,33.66041188265637,45.59120972581848
2017-06-22 01:15:00,33.9,39.109547243776696,32.97196856938961,45.247042048087955
2017-06-22 01:20:00,33.6,38.65364605469512,32.75877299574032,44.91263822204779
2017-06-22 01:25:00,31.9,38.20007034730907,32.04964175739155,44.546680128897066
2017-06-22 01:30:00,31.9,37.749695735386204,31.444284258760828,43.58933207694904
2017-06-22 01:35:00,31.8,37.30338672049075,31.15161298645594,43.19277874279242
2017-06-22 01:40:00,31.7,36.861992387733345,30.989713882889603,42.73726315622384
2017-06-22 01:45:00,30.6,36.42634216731286,30.754596888276993,42.43745921067564
2017-06-22 01:50:00,29.7,35.99724168986339,29.783325514086062,41.98481550033249
2017-06-22 01:55:00,28.9,35.575468769294055,29.482703043722967,41.79370291367952
2017-06-22 02:00:00,28.2,35.16176953166976,28.495035523057545,40.755367474281165
2017-06-22 02:05:00,27.6,34.75685472998928,28.46404555028653,41.127930432600216
2017-06-22 02:10:00,26.8,34.36139625713832,28.290195245936648,40.80790193911105
2017-06-22 02:15:00,26.4,33.976023890306884,27.729649752772165,39.65513751586844
2017-06-22 02:20:00,25.9,33.60132228432181,27.5128825577068,39.708068428608485
2017-06-22 02:25:00,25.3,33.23782823901581,27.147059498569334,39.28803586098526
2017-06-22 02:30:00,24.8,32.886028254249844,26.863591947011187,38.81849397482383
2017-06-22 02:35:00,24.2,32.546356392877684,26.724073113283847,38.447049253571286
2017-06-22 02:40:00,23.8,32.219192465319395,26.025346815226072,38.052396755460805
2017-06-22 02:45:00,23.4,31.904860545037305,26.1116603346835,37.92058002901476
2017-06-22 02:50:00,23.1,31.60362783184646,25.378011871815414,37.674738909666935
2017-06-22 02:55:00,22.7,31.315703859840177,25.467244713217347,37.97302010506749
2017-06-22 03:00:00,22.2,31.041240064636014,24.96647909002431,36.90597690953851
2017-06-22 03:05:00,21.9,30.780329705095784,25.028863289479858,36.75635202733343
2017-06-22 03:10:00,21.6,30.533008142765844,24.644475348417455,36.86149621039544
2017-06-22 03:15:00,21.2,30.299253474874167,23.99006743420616,36.454693204001295
2017-06-22 03:20:00,21.0,30.078987514593805,24.081282928284345,36.098271968008596
